Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,1,59,TEL,P011219,"SORKIN, ROMAN",FTM,Free Throw In,1,-1,-1, ,0,0,1,6,04:17,16,13,20250930175534
2025,1,64,TEL,P014127,"BRISSETT, O'SHAE J",2FGA,Missed Two Pointer,0,432,225,G,0,0,0,7,03:50,16,13,20250930175624
2025,1,66,TEL,P011219,"SORKIN, ROMAN",3FGA,Missed Three Pointer,0,50,759,I,0,0,0,7,03:42,16,13,20250930175641
2025,1,68,TEL,P011193,"BLATT, TAMIR",2FGA,Missed Two Pointer,0,-432,156,F,0,0,0,7,03:29,16,13,20250930175655
2025,1,70,TEL,P011219,"SORKIN, ROMAN",2FGM,Two Pointer,2,-87,31,B,0,1,1,7,03:18,16,15,20250930175709
2025,1,77,IST,P005844,"PAPAGIANNIS, GEORGIOS",2FGM,Two Pointer,2,-125,81,B,0,0,0,8,02:52,18,15,20250930175755
2025,1,85,TEL,P011219,"SORKIN, ROMAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,8,02:51,18,16,20250930175837
2025,1,86,TEL,P011219,"SORKIN, ROMAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,8,02:51,18,17,20250930175855
2025,1,91,IST,P005844,"PAPAGIANNIS, GEORGIOS",3FGA,Missed Three Pointer,0,-319,759,H,0,0,0,8,02:32,18,17,20250930175943
2025,1,97,IST,P009549,"CORDINIER, ISAIA",2FGA,Missed Two Pointer,0,-483,169,F,0,0,0,9,01:59,18,17,20250930180046
2025,1,101,IST,P012710,"OSMANI, ERCAN",2FGM,Two Pointer,2,150,43,C,0,1,1,9,01:59,20,17,20250930180110
2025,1,102,TEL,P013403,"WALKER IV, LONNIE",3FGA,Missed Three Pointer,0,627,495,I,0,0,0,9,01:59,20,17,20250930180122
2025,1,111,IST,P012710,"OSMANI, ERCAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,9,01:30,21,17,20250930180247
